sequenceNo	sequenceStartUnix	sequenceEndUnix	sequenceStartDate	sequenceEndDate	sonarFilePath	sonarFileTimestampsPath	mergingFrames	cam1FilePath	cam1FileTimestampsPath	cam2FilePath	cam2FileTimestampsPath
0	1629609208.033	1629609281.673	2021-08-22T05:13:28.033	2021-08-22T05:14:41.673	sonar\sonar_0000.mp4	sonar\sonar_0000.txt	0	camera\cam1_0000.mp4	camera\cam1_0000.txt	camera\cam2_0000.mp4	camera\cam2_0000.txt
1	1629609313.543	1629609497.753	2021-08-22T05:15:13.543	2021-08-22T05:18:17.753	sonar\sonar_0001.mp4	sonar\sonar_0001.txt	0	camera\cam1_0001.mp4	camera\cam1_0001.txt	camera\cam2_0001.mp4	camera\cam2_0001.txt
2	1629609532.253	1629609805.994	2021-08-22T05:18:52.253	2021-08-22T05:23:25.994	sonar\sonar_0002.mp4	sonar\sonar_0002.txt	0	camera\cam1_0002.mp4	camera\cam1_0002.txt	camera\cam2_0002.mp4	camera\cam2_0002.txt
3	1629609822.204	1629609920.834	2021-08-22T05:23:42.204	2021-08-22T05:25:20.834	sonar\sonar_0003.mp4	sonar\sonar_0003.txt	0	camera\cam1_0003.mp4	camera\cam1_0003.txt	camera\cam2_0003.mp4	camera\cam2_0003.txt
4	1629609925.724	1629610084.184	2021-08-22T05:25:25.724	2021-08-22T05:28:04.184	sonar\sonar_0004.mp4	sonar\sonar_0004.txt	0	camera\cam1_0004.mp4	camera\cam1_0004.txt	camera\cam2_0004.mp4	camera\cam2_0004.txt
5	1629610339.144	1629610578.265	2021-08-22T05:32:19.144	2021-08-22T05:36:18.265	sonar\sonar_0005.mp4	sonar\sonar_0005.txt	0	camera\cam1_0005.mp4	camera\cam1_0005.txt	camera\cam2_0005.mp4	camera\cam2_0005.txt
6	1629610782.235	1629611130.215	2021-08-22T05:39:42.235	2021-08-22T05:45:30.215	sonar\sonar_0006.mp4	sonar\sonar_0006.txt	0	camera\cam1_0006.mp4	camera\cam1_0006.txt	camera\cam2_0006.mp4	camera\cam2_0006.txt
7	1629611146.226	1629611322.336	2021-08-22T05:45:46.226	2021-08-22T05:48:42.336	sonar\sonar_0007.mp4	sonar\sonar_0007.txt	0	camera\cam1_0007.mp4	camera\cam1_0007.txt	camera\cam2_0007.mp4	camera\cam2_0007.txt
8	1629611389.206	1629611486.196	2021-08-22T05:49:49.206	2021-08-22T05:51:26.196	sonar\sonar_0008.mp4	sonar\sonar_0008.txt	0	camera\cam1_0008.mp4	camera\cam1_0008.txt	camera\cam2_0008.mp4	camera\cam2_0008.txt
9	1629611499.966	1629611654.366	2021-08-22T05:51:39.966	2021-08-22T05:54:14.366	sonar\sonar_0009.mp4	sonar\sonar_0009.txt	0	camera\cam1_0009.mp4	camera\cam1_0009.txt	camera\cam2_0009.mp4	camera\cam2_0009.txt
10	1629611992.837	1629612064.987	2021-08-22T05:59:52.837	2021-08-22T06:01:04.987	sonar\sonar_0010.mp4	sonar\sonar_0010.txt	0	camera\cam1_0010.mp4	camera\cam1_0010.txt	camera\cam2_0010.mp4	camera\cam2_0010.txt
11	1629612341.437	1629612413.247	2021-08-22T06:05:41.437	2021-08-22T06:06:53.247	sonar\sonar_0011.mp4	sonar\sonar_0011.txt	0	camera\cam1_0011.mp4	camera\cam1_0011.txt	camera\cam2_0011.mp4	camera\cam2_0011.txt
12	1629613678.919	1629613782.879	2021-08-22T06:27:58.919	2021-08-22T06:29:42.879	sonar\sonar_0012.mp4	sonar\sonar_0012.txt	0	camera\cam1_0012.mp4	camera\cam1_0012.txt	camera\cam2_0012.mp4	camera\cam2_0012.txt
13	1629615741.822	1629615825.852	2021-08-22T07:02:21.822	2021-08-22T07:03:45.852	sonar\sonar_0013.mp4	sonar\sonar_0013.txt	49	camera\cam1_0013.mp4	camera\cam1_0013.txt	camera\cam2_0013.mp4	camera\cam2_0013.txt
14	1629616095.503	1629616258.573	2021-08-22T07:08:15.503	2021-08-22T07:10:58.573	sonar\sonar_0014.mp4	sonar\sonar_0014.txt	0	camera\cam1_0014.mp4	camera\cam1_0014.txt	camera\cam2_0014.mp4	camera\cam2_0014.txt
15	1629616360.253	1629616435.513	2021-08-22T07:12:40.253	2021-08-22T07:13:55.513	sonar\sonar_0015.mp4	sonar\sonar_0015.txt	0	camera\cam1_0015.mp4	camera\cam1_0015.txt	camera\cam2_0015.mp4	camera\cam2_0015.txt
16	1629616673.093	1629616751.653	2021-08-22T07:17:53.093	2021-08-22T07:19:11.653	sonar\sonar_0016.mp4	sonar\sonar_0016.txt	0	camera\cam1_0016.mp4	camera\cam1_0016.txt	camera\cam2_0016.mp4	camera\cam2_0016.txt
17	1629616875.204	1629616950.854	2021-08-22T07:21:15.204	2021-08-22T07:22:30.854	sonar\sonar_0017.mp4	sonar\sonar_0017.txt	0	camera\cam1_0017.mp4	camera\cam1_0017.txt	camera\cam2_0017.mp4	camera\cam2_0017.txt
18	1629617119.174	1629617213.444	2021-08-22T07:25:19.174	2021-08-22T07:26:53.444	sonar\sonar_0018.mp4	sonar\sonar_0018.txt	0	camera\cam1_0018.mp4	camera\cam1_0018.txt	camera\cam2_0018.mp4	camera\cam2_0018.txt
19	1629618783.266	1629618865.486	2021-08-22T07:53:03.266	2021-08-22T07:54:25.486	sonar\sonar_0019.mp4	sonar\sonar_0019.txt	0	camera\cam1_0019.mp4	camera\cam1_0019.txt	camera\cam2_0019.mp4	camera\cam2_0019.txt
20	1629618967.747	1629619060.947	2021-08-22T07:56:07.747	2021-08-22T07:57:40.947	sonar\sonar_0020.mp4	sonar\sonar_0020.txt	0	camera\cam1_0020.mp4	camera\cam1_0020.txt	camera\cam2_0020.mp4	camera\cam2_0020.txt
21	1629619342.487	1629619419.257	2021-08-22T08:02:22.487	2021-08-22T08:03:39.257	sonar\sonar_0021.mp4	sonar\sonar_0021.txt	0	camera\cam1_0021.mp4	camera\cam1_0021.txt	camera\cam2_0021.mp4	camera\cam2_0021.txt
22	1629619524.797	1629619645.037	2021-08-22T08:05:24.797	2021-08-22T08:07:25.037	sonar\sonar_0022.mp4	sonar\sonar_0022.txt	0	camera\cam1_0022.mp4	camera\cam1_0022.txt	camera\cam2_0022.mp4	camera\cam2_0022.txt
23	1629619654.968	1629619783.418	2021-08-22T08:07:34.968	2021-08-22T08:09:43.418	sonar\sonar_0023.mp4	sonar\sonar_0023.txt	0	camera\cam1_0023.mp4	camera\cam1_0023.txt	camera\cam2_0023.mp4	camera\cam2_0023.txt
24	1629620022.388	1629620441.359	2021-08-22T08:13:42.388	2021-08-22T08:20:41.359	sonar\sonar_0024.mp4	sonar\sonar_0024.txt	0	camera\cam1_0024.mp4	camera\cam1_0024.txt	camera\cam2_0024.mp4	camera\cam2_0024.txt
25	1629620531.279	1629620857.399	2021-08-22T08:22:11.279	2021-08-22T08:27:37.399	sonar\sonar_0025.mp4	sonar\sonar_0025.txt	0	camera\cam1_0025.mp4	camera\cam1_0025.txt	camera\cam2_0025.mp4	camera\cam2_0025.txt
26	1629621135.89	1629621225.53	2021-08-22T08:32:15.890	2021-08-22T08:33:45.530	sonar\sonar_0026.mp4	sonar\sonar_0026.txt	0	camera\cam1_0026.mp4	camera\cam1_0026.txt	camera\cam2_0026.mp4	camera\cam2_0026.txt
27	1629621278.91	1629621402.78	2021-08-22T08:34:38.910	2021-08-22T08:36:42.780	sonar\sonar_0027.mp4	sonar\sonar_0027.txt	250	camera\cam1_0027.mp4	camera\cam1_0027.txt	camera\cam2_0027.mp4	camera\cam2_0027.txt
28	1629625295.415	1629625413.775	2021-08-22T09:41:35.415	2021-08-22T09:43:33.775	sonar\sonar_0028.mp4	sonar\sonar_0028.txt	0	camera\cam1_0028.mp4	camera\cam1_0028.txt	camera\cam2_0028.mp4	camera\cam2_0028.txt
29	1629625482.696	1629625688.226	2021-08-22T09:44:42.696	2021-08-22T09:48:08.226	sonar\sonar_0029.mp4	sonar\sonar_0029.txt	0	camera\cam1_0029.mp4	camera\cam1_0029.txt	camera\cam2_0029.mp4	camera\cam2_0029.txt
30	1629626075.767	1629626191.417	2021-08-22T09:54:35.767	2021-08-22T09:56:31.417	sonar\sonar_0030.mp4	sonar\sonar_0030.txt	0	camera\cam1_0030.mp4	camera\cam1_0030.txt	camera\cam2_0030.mp4	camera\cam2_0030.txt
31	1629626942.128	1629627052.108	2021-08-22T10:09:02.128	2021-08-22T10:10:52.108	sonar\sonar_0031.mp4	sonar\sonar_0031.txt	0	camera\cam1_0031.mp4	camera\cam1_0031.txt	camera\cam2_0031.mp4	camera\cam2_0031.txt
32	1629627451.308	1629627533.048	2021-08-22T10:17:31.308	2021-08-22T10:18:53.048	sonar\sonar_0032.mp4	sonar\sonar_0032.txt	0	camera\cam1_0032.mp4	camera\cam1_0032.txt	camera\cam2_0032.mp4	camera\cam2_0032.txt
33	1629628792.28	1629628941.15	2021-08-22T10:39:52.280	2021-08-22T10:42:21.150	sonar\sonar_0033.mp4	sonar\sonar_0033.txt	0	camera\cam1_0033.mp4	camera\cam1_0033.txt	camera\cam2_0033.mp4	camera\cam2_0033.txt
34	1629629292.621	1629629392.471	2021-08-22T10:48:12.621	2021-08-22T10:49:52.471	sonar\sonar_0034.mp4	sonar\sonar_0034.txt	0	camera\cam1_0034.mp4	camera\cam1_0034.txt	camera\cam2_0034.mp4	camera\cam2_0034.txt
35	1629629511.931	1629629587.631	2021-08-22T10:51:51.931	2021-08-22T10:53:07.631	sonar\sonar_0035.mp4	sonar\sonar_0035.txt	0	camera\cam1_0035.mp4	camera\cam1_0035.txt	camera\cam2_0035.mp4	camera\cam2_0035.txt
36	1629629852.192	1629630004.602	2021-08-22T10:57:32.192	2021-08-22T11:00:04.602	sonar\sonar_0036.mp4	sonar\sonar_0036.txt	0	camera\cam1_0036.mp4	camera\cam1_0036.txt	camera\cam2_0036.mp4	camera\cam2_0036.txt
37	1629630241.932	1629630393.202	2021-08-22T11:04:01.932	2021-08-22T11:06:33.202	sonar\sonar_0037.mp4	sonar\sonar_0037.txt	0	camera\cam1_0037.mp4	camera\cam1_0037.txt	camera\cam2_0037.mp4	camera\cam2_0037.txt
38	1629630872.833	1629631047.003	2021-08-22T11:14:32.833	2021-08-22T11:17:27.003	sonar\sonar_0038.mp4	sonar\sonar_0038.txt	0	camera\cam1_0038.mp4	camera\cam1_0038.txt	camera\cam2_0038.mp4	camera\cam2_0038.txt
39	1629635021.439	1629635560.82	2021-08-22T12:23:41.439	2021-08-22T12:32:40.820	sonar\sonar_0039.mp4	sonar\sonar_0039.txt	0	camera\cam1_0039.mp4	camera\cam1_0039.txt	camera\cam2_0039.mp4	camera\cam2_0039.txt
40	1629635564.53	1629635672.88	2021-08-22T12:32:44.530	2021-08-22T12:34:32.880	sonar\sonar_0040.mp4	sonar\sonar_0040.txt	0	camera\cam1_0040.mp4	camera\cam1_0040.txt	camera\cam2_0040.mp4	camera\cam2_0040.txt
41	1629635983.35	1629636170.191	2021-08-22T12:39:43.350	2021-08-22T12:42:50.191	sonar\sonar_0041.mp4	sonar\sonar_0041.txt	0	camera\cam1_0041.mp4	camera\cam1_0041.txt	camera\cam2_0041.mp4	camera\cam2_0041.txt
42	1629636583.441	1629636683.701	2021-08-22T12:49:43.441	2021-08-22T12:51:23.701	sonar\sonar_0042.mp4	sonar\sonar_0042.txt	0	camera\cam1_0042.mp4	camera\cam1_0042.txt	camera\cam2_0042.mp4	camera\cam2_0042.txt
43	1629637978.133	1629638120.633	2021-08-22T13:12:58.133	2021-08-22T13:15:20.633	sonar\sonar_0043.mp4	sonar\sonar_0043.txt	0	camera\cam1_0043.mp4	camera\cam1_0043.txt	camera\cam2_0043.mp4	camera\cam2_0043.txt
44	1629638164.323	1629638458.324	2021-08-22T13:16:04.323	2021-08-22T13:20:58.324	sonar\sonar_0044.mp4	sonar\sonar_0044.txt	0	camera\cam1_0044.mp4	camera\cam1_0044.txt	camera\cam2_0044.mp4	camera\cam2_0044.txt
45	1629638462.674	1629638542.484	2021-08-22T13:21:02.674	2021-08-22T13:22:22.484	sonar\sonar_0045.mp4	sonar\sonar_0045.txt	0	camera\cam1_0045.mp4	camera\cam1_0045.txt	camera\cam2_0045.mp4	camera\cam2_0045.txt
46	1629639167.945	1629639422.925	2021-08-22T13:32:47.945	2021-08-22T13:37:02.925	sonar\sonar_0046.mp4	sonar\sonar_0046.txt	0	camera\cam1_0046.mp4	camera\cam1_0046.txt	camera\cam2_0046.mp4	camera\cam2_0046.txt
47	1629639426.185	1629639772.866	2021-08-22T13:37:06.185	2021-08-22T13:42:52.866	sonar\sonar_0047.mp4	sonar\sonar_0047.txt	0	camera\cam1_0047.mp4	camera\cam1_0047.txt	camera\cam2_0047.mp4	camera\cam2_0047.txt
48	1629639946.136	1629640473.977	2021-08-22T13:45:46.136	2021-08-22T13:54:33.977	sonar\sonar_0048.mp4	sonar\sonar_0048.txt	0	camera\cam1_0048.mp4	camera\cam1_0048.txt	camera\cam2_0048.mp4	camera\cam2_0048.txt
49	1629640498.347	1629640594.437	2021-08-22T13:54:58.347	2021-08-22T13:56:34.437	sonar\sonar_0049.mp4	sonar\sonar_0049.txt	0	camera\cam1_0049.mp4	camera\cam1_0049.txt	camera\cam2_0049.mp4	camera\cam2_0049.txt
50	1629641025.927	1629641557.788	2021-08-22T14:03:45.927	2021-08-22T14:12:37.788	sonar\sonar_0050.mp4	sonar\sonar_0050.txt	0	camera\cam1_0050.mp4	camera\cam1_0050.txt	camera\cam2_0050.mp4	camera\cam2_0050.txt
51	1629642590.63	1629642939.06	2021-08-22T14:29:50.630	2021-08-22T14:35:39.060	sonar\sonar_0051.mp4	sonar\sonar_0051.txt	0	camera\cam1_0051.mp4	camera\cam1_0051.txt	camera\cam2_0051.mp4	camera\cam2_0051.txt
52	1629642969.57	1629643112.49	2021-08-22T14:36:09.570	2021-08-22T14:38:32.490	sonar\sonar_0052.mp4	sonar\sonar_0052.txt	0	camera\cam1_0052.mp4	camera\cam1_0052.txt	camera\cam2_0052.mp4	camera\cam2_0052.txt
53	1629645037.483	1629645261.943	2021-08-22T15:10:37.483	2021-08-22T15:14:21.943	sonar\sonar_0053.mp4	sonar\sonar_0053.txt	0	camera\cam1_0053.mp4	camera\cam1_0053.txt	camera\cam2_0053.mp4	camera\cam2_0053.txt
54	1629645300.443	1629645455.254	2021-08-22T15:15:00.443	2021-08-22T15:17:35.254	sonar\sonar_0054.mp4	sonar\sonar_0054.txt	0	camera\cam1_0054.mp4	camera\cam1_0054.txt	camera\cam2_0054.mp4	camera\cam2_0054.txt
55	1629645639.134	1629645718.424	2021-08-22T15:20:39.134	2021-08-22T15:21:58.424	sonar\sonar_0055.mp4	sonar\sonar_0055.txt	0	camera\cam1_0055.mp4	camera\cam1_0055.txt	camera\cam2_0055.mp4	camera\cam2_0055.txt
56	1629649397.099	1629649488.099	2021-08-22T16:23:17.099	2021-08-22T16:24:48.099	sonar\sonar_0056.mp4	sonar\sonar_0056.txt	0	camera\cam1_0056.mp4	camera\cam1_0056.txt	camera\cam2_0056.mp4	camera\cam2_0056.txt
57	1629650511.331	1629650586.831	2021-08-22T16:41:51.331	2021-08-22T16:43:06.831	sonar\sonar_0057.mp4	sonar\sonar_0057.txt	0	camera\cam1_0057.mp4	camera\cam1_0057.txt	camera\cam2_0057.mp4	camera\cam2_0057.txt
58	1629651572.212	1629651647.682	2021-08-22T16:59:32.212	2021-08-22T17:00:47.682	sonar\sonar_0058.mp4	sonar\sonar_0058.txt	0	camera\cam1_0058.mp4	camera\cam1_0058.txt	camera\cam2_0058.mp4	camera\cam2_0058.txt
59	1629652614.304	1629652763.124	2021-08-22T17:16:54.304	2021-08-22T17:19:23.124	sonar\sonar_0059.mp4	sonar\sonar_0059.txt	0	camera\cam1_0059.mp4	camera\cam1_0059.txt	camera\cam2_0059.mp4	camera\cam2_0059.txt
60	1629691443.067	1629691534.777	2021-08-23T04:04:03.067	2021-08-23T04:05:34.777	sonar\sonar_0060.mp4	sonar\sonar_0060.txt	0	camera\cam1_0060.mp4	camera\cam1_0060.txt	camera\cam2_0060.mp4	camera\cam2_0060.txt
61	1629694318.001	1629694510.761	2021-08-23T04:51:58.001	2021-08-23T04:55:10.761	sonar\sonar_0061.mp4	sonar\sonar_0061.txt	0	camera\cam1_0061.mp4	camera\cam1_0061.txt	camera\cam2_0061.mp4	camera\cam2_0061.txt
62	1629699086.968	1629699158.878	2021-08-23T06:11:26.968	2021-08-23T06:12:38.878	sonar\sonar_0062.mp4	sonar\sonar_0062.txt	0	camera\cam1_0062.mp4	camera\cam1_0062.txt	camera\cam2_0062.mp4	camera\cam2_0062.txt
63	1629704916.566	1629705070.476	2021-08-23T07:48:36.566	2021-08-23T07:51:10.476	sonar\sonar_0063.mp4	sonar\sonar_0063.txt	0	camera\cam1_0063.mp4	camera\cam1_0063.txt	camera\cam2_0063.mp4	camera\cam2_0063.txt
64	1629705340.937	1629705450.867	2021-08-23T07:55:40.937	2021-08-23T07:57:30.867	sonar\sonar_0064.mp4	sonar\sonar_0064.txt	0	camera\cam1_0064.mp4	camera\cam1_0064.txt	camera\cam2_0064.mp4	camera\cam2_0064.txt
65	1629709232.932	1629709562.882	2021-08-23T09:00:32.932	2021-08-23T09:06:02.882	sonar\sonar_0065.mp4	sonar\sonar_0065.txt	0	camera\cam1_0065.mp4	camera\cam1_0065.txt	camera\cam2_0065.mp4	camera\cam2_0065.txt
66	1629719226.286	1629719303.236	2021-08-23T11:47:06.286	2021-08-23T11:48:23.236	sonar\sonar_0066.mp4	sonar\sonar_0066.txt	0	camera\cam1_0066.mp4	camera\cam1_0066.txt	camera\cam2_0066.mp4	camera\cam2_0066.txt
67	1629724655.498	1629725549.009	2021-08-23T13:17:35.498	2021-08-23T13:32:29.009	sonar\sonar_0067.mp4	sonar\sonar_0067.txt	0	camera\cam1_0067.mp4	camera\cam1_0067.txt	camera\cam2_0067.mp4	camera\cam2_0067.txt
68	1629730061.035	1629730699.446	2021-08-23T14:47:41.035	2021-08-23T14:58:19.446	sonar\sonar_0068.mp4	sonar\sonar_0068.txt	0	camera\cam1_0068.mp4	camera\cam1_0068.txt	camera\cam2_0068.mp4	camera\cam2_0068.txt
69	1629730754.706	1629731219.157	2021-08-23T14:59:14.706	2021-08-23T15:06:59.157	sonar\sonar_0069.mp4	sonar\sonar_0069.txt	1585	camera\cam1_0069.mp4	camera\cam1_0069.txt	camera\cam2_0069.mp4	camera\cam2_0069.txt
70	1629731230.367	1629731340.737	2021-08-23T15:07:10.367	2021-08-23T15:09:00.737	sonar\sonar_0070.mp4	sonar\sonar_0070.txt	0	camera\cam1_0070.mp4	camera\cam1_0070.txt	camera\cam2_0070.mp4	camera\cam2_0070.txt
71	1629731368.497	1629733280.93	2021-08-23T15:09:28.497	2021-08-23T15:41:20.930	sonar\sonar_0071.mp4	sonar\sonar_0071.txt	7504	camera\cam1_0071.mp4	camera\cam1_0071.txt	camera\cam2_0071.mp4	camera\cam2_0071.txt
72	1629733388.67	1629733621.52	2021-08-23T15:43:08.670	2021-08-23T15:47:01.520	sonar\sonar_0072.mp4	sonar\sonar_0072.txt	0	camera\cam1_0072.mp4	camera\cam1_0072.txt	camera\cam2_0072.mp4	camera\cam2_0072.txt
73	1629733692.94	1629733945.261	2021-08-23T15:48:12.940	2021-08-23T15:52:25.261	sonar\sonar_0073.mp4	sonar\sonar_0073.txt	0	camera\cam1_0073.mp4	camera\cam1_0073.txt	camera\cam2_0073.mp4	camera\cam2_0073.txt
74	1629745023.576	1629745096.636	2021-08-23T18:57:03.576	2021-08-23T18:58:16.636	sonar\sonar_0074.mp4	sonar\sonar_0074.txt	0	camera\cam1_0074.mp4	camera\cam1_0074.txt	camera\cam2_0074.mp4	camera\cam2_0074.txt
75	1629777626.944	1629777698.454	2021-08-24T04:00:26.944	2021-08-24T04:01:38.454	sonar\sonar_0075.mp4	sonar\sonar_0075.txt	0	camera\cam1_0075.mp4	camera\cam1_0075.txt	camera\cam2_0075.mp4	camera\cam2_0075.txt
76	1629778271.475	1629778348.605	2021-08-24T04:11:11.475	2021-08-24T04:12:28.605	sonar\sonar_0076.mp4	sonar\sonar_0076.txt	0	camera\cam1_0076.mp4	camera\cam1_0076.txt	camera\cam2_0076.mp4	camera\cam2_0076.txt
77	1629778544.055	1629778609.025	2021-08-24T04:15:44.055	2021-08-24T04:16:49.025	sonar\sonar_0077.mp4	sonar\sonar_0077.txt	0	camera\cam1_0077.mp4	camera\cam1_0077.txt	camera\cam2_0077.mp4	camera\cam2_0077.txt
78	1629778763.295	1629778860.545	2021-08-24T04:19:23.295	2021-08-24T04:21:00.545	sonar\sonar_0078.mp4	sonar\sonar_0078.txt	0	camera\cam1_0078.mp4	camera\cam1_0078.txt	camera\cam2_0078.mp4	camera\cam2_0078.txt
79	1629778879.416	1629778965.736	2021-08-24T04:21:19.416	2021-08-24T04:22:45.736	sonar\sonar_0079.mp4	sonar\sonar_0079.txt	0	camera\cam1_0079.mp4	camera\cam1_0079.txt	camera\cam2_0079.mp4	camera\cam2_0079.txt
80	1629779218.796	1629779304.156	2021-08-24T04:26:58.796	2021-08-24T04:28:24.156	sonar\sonar_0080.mp4	sonar\sonar_0080.txt	0	camera\cam1_0080.mp4	camera\cam1_0080.txt	camera\cam2_0080.mp4	camera\cam2_0080.txt
81	1629779729.117	1629779814.407	2021-08-24T04:35:29.117	2021-08-24T04:36:54.407	sonar\sonar_0081.mp4	sonar\sonar_0081.txt	0	camera\cam1_0081.mp4	camera\cam1_0081.txt	camera\cam2_0081.mp4	camera\cam2_0081.txt
82	1629780793.028	1629780888.218	2021-08-24T04:53:13.028	2021-08-24T04:54:48.218	sonar\sonar_0082.mp4	sonar\sonar_0082.txt	0	camera\cam1_0082.mp4	camera\cam1_0082.txt	camera\cam2_0082.mp4	camera\cam2_0082.txt
83	1629783886.193	1629783992.893	2021-08-24T05:44:46.193	2021-08-24T05:46:32.893	sonar\sonar_0083.mp4	sonar\sonar_0083.txt	0	camera\cam1_0083.mp4	camera\cam1_0083.txt	camera\cam2_0083.mp4	camera\cam2_0083.txt
84	1629784142.463	1629784335.553	2021-08-24T05:49:02.463	2021-08-24T05:52:15.553	sonar\sonar_0084.mp4	sonar\sonar_0084.txt	0	camera\cam1_0084.mp4	camera\cam1_0084.txt	camera\cam2_0084.mp4	camera\cam2_0084.txt
85	1629784768.634	1629784857.924	2021-08-24T05:59:28.634	2021-08-24T06:00:57.924	sonar\sonar_0085.mp4	sonar\sonar_0085.txt	0	camera\cam1_0085.mp4	camera\cam1_0085.txt	camera\cam2_0085.mp4	camera\cam2_0085.txt
86	1629785147.874	1629785238.584	2021-08-24T06:05:47.874	2021-08-24T06:07:18.584	sonar\sonar_0086.mp4	sonar\sonar_0086.txt	0	camera\cam1_0086.mp4	camera\cam1_0086.txt	camera\cam2_0086.mp4	camera\cam2_0086.txt
87	1629785408.205	1629785559.545	2021-08-24T06:10:08.205	2021-08-24T06:12:39.545	sonar\sonar_0087.mp4	sonar\sonar_0087.txt	0	camera\cam1_0087.mp4	camera\cam1_0087.txt	camera\cam2_0087.mp4	camera\cam2_0087.txt
88	1629786008.355	1629786093.876	2021-08-24T06:20:08.355	2021-08-24T06:21:33.876	sonar\sonar_0088.mp4	sonar\sonar_0088.txt	0	camera\cam1_0088.mp4	camera\cam1_0088.txt	camera\cam2_0088.mp4	camera\cam2_0088.txt
89	1629786194.716	1629786784.976	2021-08-24T06:23:14.716	2021-08-24T06:33:04.976	sonar\sonar_0089.mp4	sonar\sonar_0089.txt	0	camera\cam1_0089.mp4	camera\cam1_0089.txt	camera\cam2_0089.mp4	camera\cam2_0089.txt
90	1629786882.357	1629787080.497	2021-08-24T06:34:42.357	2021-08-24T06:38:00.497	sonar\sonar_0090.mp4	sonar\sonar_0090.txt	49	camera\cam1_0090.mp4	camera\cam1_0090.txt	camera\cam2_0090.mp4	camera\cam2_0090.txt
91	1629787180.097	1629787442.487	2021-08-24T06:39:40.097	2021-08-24T06:44:02.487	sonar\sonar_0091.mp4	sonar\sonar_0091.txt	0	camera\cam1_0091.mp4	camera\cam1_0091.txt	camera\cam2_0091.mp4	camera\cam2_0091.txt
92	1629787456.948	1629787630.538	2021-08-24T06:44:16.948	2021-08-24T06:47:10.538	sonar\sonar_0092.mp4	sonar\sonar_0092.txt	0	camera\cam1_0092.mp4	camera\cam1_0092.txt	camera\cam2_0092.mp4	camera\cam2_0092.txt
93	1629787685.178	1629787791.698	2021-08-24T06:48:05.178	2021-08-24T06:49:51.698	sonar\sonar_0093.mp4	sonar\sonar_0093.txt	0	camera\cam1_0093.mp4	camera\cam1_0093.txt	camera\cam2_0093.mp4	camera\cam2_0093.txt
94	1629787810.908	1629787896.018	2021-08-24T06:50:10.908	2021-08-24T06:51:36.018	sonar\sonar_0094.mp4	sonar\sonar_0094.txt	0	camera\cam1_0094.mp4	camera\cam1_0094.txt	camera\cam2_0094.mp4	camera\cam2_0094.txt
95	1629787921.828	1629788163.988	2021-08-24T06:52:01.828	2021-08-24T06:56:03.988	sonar\sonar_0095.mp4	sonar\sonar_0095.txt	0	camera\cam1_0095.mp4	camera\cam1_0095.txt	camera\cam2_0095.mp4	camera\cam2_0095.txt
96	1629788308.799	1629788421.359	2021-08-24T06:58:28.799	2021-08-24T07:00:21.359	sonar\sonar_0096.mp4	sonar\sonar_0096.txt	0	camera\cam1_0096.mp4	camera\cam1_0096.txt	camera\cam2_0096.mp4	camera\cam2_0096.txt
97	1629788534.379	1629788670.829	2021-08-24T07:02:14.379	2021-08-24T07:04:30.829	sonar\sonar_0097.mp4	sonar\sonar_0097.txt	0	camera\cam1_0097.mp4	camera\cam1_0097.txt	camera\cam2_0097.mp4	camera\cam2_0097.txt
98	1629788762.569	1629788877.929	2021-08-24T07:06:02.569	2021-08-24T07:07:57.929	sonar\sonar_0098.mp4	sonar\sonar_0098.txt	0	camera\cam1_0098.mp4	camera\cam1_0098.txt	camera\cam2_0098.mp4	camera\cam2_0098.txt
99	1629790115.341	1629790247.191	2021-08-24T07:28:35.341	2021-08-24T07:30:47.191	sonar\sonar_0099.mp4	sonar\sonar_0099.txt	0	camera\cam1_0099.mp4	camera\cam1_0099.txt	camera\cam2_0099.mp4	camera\cam2_0099.txt
100	1629790545.712	1629790721.122	2021-08-24T07:35:45.712	2021-08-24T07:38:41.122	sonar\sonar_0100.mp4	sonar\sonar_0100.txt	315	camera\cam1_0100.mp4	camera\cam1_0100.txt	camera\cam2_0100.mp4	camera\cam2_0100.txt
101	1629791041.163	1629791673.803	2021-08-24T07:44:01.163	2021-08-24T07:54:33.803	sonar\sonar_0101.mp4	sonar\sonar_0101.txt	0	camera\cam1_0101.mp4	camera\cam1_0101.txt	camera\cam2_0101.mp4	camera\cam2_0101.txt
102	1629791726.283	1629791882.134	2021-08-24T07:55:26.283	2021-08-24T07:58:02.134	sonar\sonar_0102.mp4	sonar\sonar_0102.txt	0	camera\cam1_0102.mp4	camera\cam1_0102.txt	camera\cam2_0102.mp4	camera\cam2_0102.txt
103	1629793113.345	1629793198.935	2021-08-24T08:18:33.345	2021-08-24T08:19:58.935	sonar\sonar_0103.mp4	sonar\sonar_0103.txt	0	camera\cam1_0103.mp4	camera\cam1_0103.txt	camera\cam2_0103.mp4	camera\cam2_0103.txt
104	1629793290.706	1629793455.286	2021-08-24T08:21:30.706	2021-08-24T08:24:15.286	sonar\sonar_0104.mp4	sonar\sonar_0104.txt	0	camera\cam1_0104.mp4	camera\cam1_0104.txt	camera\cam2_0104.mp4	camera\cam2_0104.txt
